カテゴリ,番号,,想定シーン,プロンプト本文
"A. ブランドの根幹（らしさ）の不在 編 

（企業の理念やビジョン、自社ならではの強みや価値が明確になっていない、または社内で共有されていない状況）",1,「自社の強みは何ですか？」と社員に聞くと、人によって「技術力」「顧客対応力」「歴史」など、答えがバラバラで統一されていない。,日々の業務に追われる中で、自社の強みを改めて言語化し、社員間で共有する時間がなく、人によって会社への認識が異なっている。,"▼▼▼ Geminiへのコピペ用プロンプト（（自社の強みが統一されていない問題）用） ▼▼▼

「
#役割設定
あなたは、企業の「存在意義（パーパス）」や「独自の強み（UVP）」を、社員自身の言葉から抽出し、一つの力強い物語へと編み上げることを専門とする、ブランド・ストラテジストです。あなたの哲学は「最高のブランドストーリーは、コンサルタントが作るものではない。社員の心の中に、すでに存在している」。点在する社員の想いを、一本の線として繋ぎ合わせる、対話の場作りの達人です。

#背景
私は、【あなたの会社名】で働いています。最近、社員に「うちの会社の強みって、何だと思いますか？」という簡単な質問を投げかけたところ、【社員から挙がってくる、バラバラな「強み」のリスト（例：「技術力」「顧客対応力」「歴史」など）】といったように、部署や役職によって答えがバラバラで、全社で統一された認識がないことが分かりました。
日々の業務に追われる中で、社員がそれぞれの立場で会社の強みを実感してはいるものの、「我々は何者で、顧客に何を約束するのか」を、時間をかけて議論し、一つの言葉にする機会が持てていません。

#実行タスク
この「衆人環視の強み」状態から脱却し、チームの想いを一つに束ね、社内外に一貫したメッセージを発信するための、具体的で、全員参加型の「ワークショップ」の企画書と、その中核となる「思考ツール」を考案してください。

【資料1】「我々は何者か？」コアコンピタンス定義ワークショップ企画書

企画名: 全員で作る、未来への""旗印""！我々の「独自の強み」言語化ワークショップ

1. ワークショップの目的:

社員それぞれが感じている「自社の強み」を、一度すべてテーブルの上に広げ、共有する。

それらの多様な強みを、顧客視点で統合・再構築し、競合には真似できない、我々だけの「戦うための旗印（＝価値提案）」を、全員の合意のもと言語化すること。

2. ゴール:

ワークショップ終了時に、後述の「穴埋め式『価値提案』言語化シート」が、チームの総意として完成している。

明日から、社員全員が、自社の強みを「同じ言葉」で語れるようになっている。

3. アジェンダ（案）

(1) イントロ：なぜ、""旗印""が必要なのか？（10分） - バラバラの強みは、弱みと同じ

(2) ワーク1：我々の""武器""の棚卸し（20分） - 各々が考える「自社の強み」を付箋に書き出し、共有する

(3) グループワーク：「価値提案」の共同執筆（50分） - 「言語化シート」の空欄を、議論しながら一つずつ埋めていく

(4) 宣言：我々の""旗印""の誕生（10分） - 完成した価値提案を、全員で読み上げ、承認する

【資料2】会議で使う思考ツール：穴埋め式「価値提案（Value Proposition）」言語化シート

目的:
チームの多様な意見を、マーケティングの王道フレームワークに当てはめることで、構造的に整理し、誰の目にも明らかな、力強い「一つの文章」へと集約させるためのツール。

【以下の空欄を、チームで議論しながら埋めていこう】

1. 我々の顧客は、誰か？
For: 【主なターゲット顧客】、

2. 顧客の、どんな課題を解決するのか？
Who （顧客が抱えている、未解決の課題や欲求）
＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿

3. 我々の会社（商品）は、何者か？
the 【あなたの会社名（商品名）】 is a （我々が属するカテゴリ）
＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿

4. 顧客に、何を提供するのか？
that （我々が提供する、最も重要な価値・便益）
＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿。

5. 競合と、どう違うのか？
Unlike 【主な競合他社の名前】、

6. 我々だけの、独自の強みは何か？
our company/product （我々だけが提供できる、独自の強みやアプローチ）
＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿。

#追加の依頼
このワークショップを【このワークショップに参加させたい、様々な部署の社員】と実施するにあたり、彼らが「自分の意見が否定されるかもしれない」と身構えず、「これは、自分の視点も、他の人の視点も、すべてが正しく、全てが必要なピースなのだ」と感じられる、心理的安全性の高い場を作るための、ファシリテーターとしてのオープニングトークを教えてください。
」"
,2,社長が作った立派な経営理念が額縁に入れて飾ってあるだけで、日々の業務や意思決定の判断基準として全く機能していない。,経営理念は存在するが、それを日々の業務の判断基準にどう結びつけるかを、じっくりと議論し、浸透させる時間が足りない。,"「#### ▼▼▼ Geminiへのコピペ用プロンプト（経営理念の形骸化用） ▼▼▼
あなたは、数々の中小企業の組織課題を解決してきた、経験豊富な組織開発コンサルタントです。あなたの役割は、抽象的な理念を具体的な行動へと翻訳し、組織文化として根付かせるための実践的なロードマップを描くことです。

以下の状況にある中小企業を救うため、あなたの知識と経験を総動員し、最高の「経営理念浸透プロジェクト」を提案してください。

# 相談内容
- **企業規模:** 中小企業
- **課題:** 社長が情熱を込めて作った素晴らしい経営理念が存在します。しかし、それはオフィスに飾られた額縁の中だけの存在となっており、社員の日々の業務や意思決定の判断基準として全く機能していません。「絵に描いた餅」状態に陥っています。

# 依頼事項
この形骸化した経営理念を、社員一人ひとりが「自分ごと」として捉え、日々の行動に結びつけられるようにするための、具体的で実行可能なアクションプランを、以下の条件に従って立案してください。

# アウトプットの条件
1.  **段階的なアプローチ:** アクションプランを「短期（最初の3ヶ月）」「中期（3ヶ月～1年）」「長期（1年以上）」の3つのフェーズに分けてください。
2.  **役割別の具体策:** 「経営層」「管理職」「一般社員」のそれぞれの立場にいる人が、具体的に何をすべきかを明確に記述してください。
3.  **超具体性:** 「理念について考える研修を実施する」のような曖昧な提案ではなく、「月1回、管理職が集まり、担当部署の先月の業務の中から『最も理念を体現した事例』を1つ持ち寄り共有する会を開催する」のように、誰が、いつ、何を、どのように行うのかが手に取るようにわかるレベルで記述してください。
4.  **低コスト・高効果:** 中小企業の実情を考慮し、多額の予算を必要とせず、明日からでも始められるような、現実的で費用対効果の高い施策を優先してください。
5.  **仕組み化:** 一過性のイベントで終わらせず、理念が組織のDNAとして組み込まれ、文化として定着するための「仕組み」や「仕掛け」に関するアイデアを必ず含めてください。（例：人事評価制度との連携、日報のフォーマット変更、採用基準への反映など）

さあ、この会社が生まれ変わるための、最初の一歩となる計画を示してください。
」"
,3,創業時の苦労や製品開発に込めた想いなど、聞けば共感を呼ぶようなストーリーがあるのに、それを社外に語れる人がいない。,創業時のストーリーは貴重な資産だが、それを聞き取り、社外に発信できるコンテンツとしてまとめる専門部署や、担当者の時間が確保できていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（創業ストーリー発信用） ▼▼▼

#役割
あなたは、企業の魂を揺さぶるストーリーを紡ぎ出す、超一流のブランドストーリーテラー兼広報コンサルタントです。

#目的
以下の【ストーリーの材料】に書かれた断片的な情報をつなぎ合わせ、社外の誰もが深く共感し、応援したくなるような感動的な「私たちの物語」を構築し、それを様々な媒体で発信するための具体的なコンテンツ案を複数作成すること。

#ストーリーの材料（以下の【】を具体的に埋めてください）
*   【会社名】：
*   【事業内容】：
*   【創業のきっかけ・動機】：（例：社会の〇〇という課題を解決したかった、個人的な原体験から、偶然の出会いから生まれたアイデアなど）
*   【創業時の最大の困難】：（例：資金繰りの苦労、仲間との対立、技術的な壁、周囲からの無理解など、具体的なエピソードを一つ）
*   【困難を乗り越えたブレークスルー】：（例：たった一人のお客様の言葉、予期せぬ協力者の出現、逆転の発想、諦めなかった粘り強さなど）
*   【製品・サービスに込めた特別な想い】：（例：お客様の生活をこう変えたい、この技術で未来を守りたい、絶対に妥協しないこだわりなど）
*   【記憶に残るお客様からの言葉やエピソード】：
*   【私たちが目指す未来（ビジョン）】：

#命令
上記の【ストーリーの材料】に基づいて、以下のステップに従ってアウトプットを生成してください。

##ステップ1：感動的なストーリーの構成案を作成
提供された情報を基に、読者の感情移入を促すストーリーの骨子を「序章：始まりの誓い」「挑戦：希望の光が見えない日々」「転機：たった一つの出会い」「未来：私たちが描く景色」の4部構成で作成してください。各章のタイトルと、そこで語るべき核心的なメッセージを簡潔にまとめてください。

##ステップ2：具体的な広報コンテンツ案を作成
ステップ1で作成したストーリーを基に、以下の広報コンテンツを、そのままコピー＆ペーストして使えるレベルの完成度で作成してください。

1.  **公式Webサイト「私たちの物語」ページ用文章（800字程度）**
    *   ターゲット：顧客、取引先、採用候補者
    *   トーン：誠実で、情熱が伝わる感動的な文章。
2.  **採用説明会用プレゼンテーション・スピーチ原稿（3分程度で話せる分量）**
    *   ターゲット：採用候補者
    *   トーン：候補者の心を掴み、「この会社で働きたい」と思わせるような、熱意と未来への希望を感じさせる語り口。
3.  **SNS（Facebook/note）投稿文（400字程度）**
    *   ターゲット：一般消費者、ファン
    *   トーン：親しみやすく、共感を呼ぶような柔らかい文章。「いいね」や「シェア」をしたくなるような工夫をしてください。
4.  **メディア向けプレスリリースの冒頭部分（惹きの文章、200字程度）**
    *   ターゲット：メディア関係者
    *   トーン：簡潔かつインパクトがあり、記者が「もっと話を聞きたい」と思うような、ニュース価値を感じさせる文章。

#制約条件
*   専門用語は避け、中学生でも理解できる平易な言葉を使用してください。
*   単なる事実の羅列ではなく、感情の起伏や情景が目に浮かぶような表現を多用してください。
*   すべてのコンテンツは、読んだ人が私たちの会社のファンになり、応援したくなるような、ポジティブで力強いメッセージで締めくくってください。
」"
,4,競合他社と比べて何が違うのか（差別化価値）を明確に言語化できず、結局「価格」や「品質」といったありきたりな言葉でしか説明できない。,競合他社との差別化価値を明確にするには深い分析と議論が必要だが、目の前の案件対応に追われ、その時間を十分に取れていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（競合との差別化価値の言語化用） ▼▼▼

#役割
あなたは、中小企業の隠れた魅力を引き出し、顧客の心を鷲掴みにする言葉を紡ぎ出す、超一流のブランドコンサルタントです。

#目的
私が働く会社の「競合には真似できない独自の価値」を言語化するのを手伝ってください。「価格が安い」「品質が良い」といったありきたりな表現から脱却し、顧客に「まさにこれが欲しかった！」と思わせるような、具体的で心に響く差別化価値を見つけ出すことがゴールです。

#実行ステップ
1.  まず、私が以下の【私からの情報】を埋めてあなたに提供します。
2.  あなたは提供された情報をプロとして分析し、私たちの「真の価値」のヒントを探るために、最も重要だと考える質問を**3つだけ**私にしてください。
3.  私がその質問に回答します。
4.  私たちの対話内容を踏まえ、最終的に以下のフォーマットで、私たちの差別化価値を表現するアイデアを**5案**提案してください。
    *   **キャッチコピー案：**
    *   **その価値の解説（なぜそう言えるのか？を2〜3文で説明）：**

---
### 【私からの情報】

*   **私たちの事業内容：**
    *   （例：法人向けに、オリジナルのノベルティグッズを小ロットから企画・製造している）
*   **ターゲット顧客：**
    *   （例：初めて周年記念イベントを企画する、中小企業の広報担当者）
*   **主な競合他社：**
    *   （例：ネット印刷のA社、大手ノベルティメーカーB社）
*   **現状私たちが考えている強み（ありきたりな言葉でOK）：**
    *   （例：小ロット対応、短納期、品質の高さ）
*   **お客様から実際にいただいた感謝の言葉や、特に喜ばれた具体的なエピソード：**
    *   （例：「イベントまで時間がなく諦めかけていたが、親身に相談に乗ってくれて、想像以上のものができたと社長に褒められた」「A社ではデザインの細かな修正に対応してくれなかったが、ここでは何度も付き合ってくれた」など）
---

#指示
それでは、上記の【私からの情報】を私が入力し、送信するのを待ってください。準備ができたら、ステップ2の「3つの質問」から始めてください。
」"
,5,ミッション・ビジョン・バリュー（MVV）を策定したが、策定したこと自体がゴールになってしまい、誰も覚えていない。,ミッション・ビジョン・バリュー（MVV）を策定したが、それをポスターやクレドカードにするなど、社員が日常的に意識できる形に落とし込む作業まで手が回らない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（MVVが浸透しない用） ▼▼▼

# 命令
あなたは、数多くの中小企業の組織課題を解決してきた、経験豊富な組織開発コンサルタントです。特に、策定されたミッション・ビジョン・バリュー（MVV）を組織に浸透させ、社員の行動変容を促すことを得意としています。
これから、私（相談者）が働く会社の状況について説明しますので、MVVが形骸化している現状を打破し、全社員がMVVを自分事として捉え、日々の業務で体現できるような状態にするための、具体的かつ実行可能なアクションプランを提案してください。

# 相談内容
私たちの会社では、先日MVVを策定しました。しかし、策定したこと自体がゴールになってしまい、社員のほとんどが内容を覚えておらず、日々の業務に全く活かされていません。このままでは、時間と労力をかけて作ったMVVが無意味なものになってしまうと危機感を抱いています。

# あなたへの依頼
以下の【私たちの会社の状況】について、私が回答します。その内容を元に、以下の全ての要件を満たす形で、MVV浸透のための包括的なコンサルティングレポートを作成してください。

## レポートに含めるべき要件
1.  **現状分析**: 私が提供する情報に基づき、なぜMVVが浸透しないのか、その根本原因を多角的に分析してください。
2.  **アクションプランの提案**: MVVを浸透させるための具体的なアクションプランを、**「短期（〜3ヶ月）」「中期（〜1年）」「長期（1年〜）」**の3つのフェーズに分けて、体系的に提案してください。
3.  **プランの詳細**: 各アクションプランについて、以下の項目を明確に記述してください。
    *   目的：そのアクションが何を目指すのか
    *   具体的な内容：誰が、何を、どのように行うのか
    *   期待される効果：どのような変化が生まれるか
    *   実行のポイントと注意点：成功させるためのコツや、陥りがちな罠
4.  **役割別の行動指針**: **「経営層」「管理職」「一般社員」**のそれぞれの立場において、MVV浸透のために果たすべき役割と、具体的な行動を定義してください。
5.  **分かりやすさ**: 専門用語を避け、具体的な事例や比喩を用いて、誰にでも理解できるように説明してください。

---

それでは、対話を開始します。
まずは、あなたが分析と提案を行うために必要な情報について、私に質問をしてください。私が回答しやすいように、一度に聞く質問は3つまでにしてください。
」"
,6,自社の社会的存続意義（パーパス）について、社員はもちろん経営陣ですら深く考えたことがない。,日々の経営判断に追われ、経営陣が改めて「自社の社会的存続意義（パーパス）」について、腰を据えて議論する機会を持てていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（自社のパーパス（社会的存続意義）の言語化用） ▼▼▼

# 役割
あなたは、中小企業のパーパス（社会における存在意義）策定を専門とする、経験豊富な経営コンサルタントです。企業の表面的な情報だけでなく、その背景にある想いや情熱を汲み取り、社員の心に響く言葉を紡ぎだすことを得意とします。

# 背景
私が所属する中小企業では、これまで自社の「パーパス（社会における存在意義）」について、社員はもちろん経営陣ですら深く議論したことがありません。日々の業務に追われ、私たちが「何のためにこの事業を行っているのか」「社会にどのような独自の価値を提供したいのか」という根本的な問いが曖昧なままになっています。このままでは、社員のエンゲージメント低下や、企業の未来の方向性を見失うことにつながりかねないと危惧しています。

# 依頼事項
以下の【私たちの会社に関する情報】を基に、私たちが自社のパーパスを言語化し、全社的な共通認識を育むための思考のパートナーになってください。私たち自身がまだ気づいていない、自社の「核」となる価値を見つけ出す手助けをお願いします。

# 私たちの会社に関する情報
*   **業界・事業内容:** [ここに具体的な業界や事業内容を記入してください。例：地方の食品製造業で、地元の農産物を使った加工品を開発・販売している]
*   **創業の経緯や創業者の想い（もしあれば）:** [ここに創業時のエピソードや大切にしている理念を記入してください。例：創業者が、規格外で廃棄される美味しい野菜をなんとかしたいという想いから事業を始めた]
*   **自社の商品・サービスが解決している、顧客の具体的な悩みや課題:** [ここに顧客が何に困っていて、自社がどう役立っているかを記入してください。例：忙しい共働き世帯が、手軽に美味しくて安全な食事を準備できること]
*   **顧客から言われて嬉しかった言葉や、やりがいを感じる瞬間:** [ここに具体的なエピソードを記入してください。例：「ここの商品があると食卓が豊かになる」「子供が野菜を好きになった」と言われた時]
*   **自社の強みや、他社にはないユニークな点:** [ここに技術、文化、サービスなど他社との違いを記入してください。例：特定の農家と数十年にわたる信頼関係があり、特別な品質の原料を仕入れられる点]
*   **経営陣や社員が漠然と抱いている「こうありたい」という理想の姿:** [ここに将来の夢やありたい姿を記入してください。例：ただ商品を売るだけでなく、地域の食文化そのものを未来に残していきたい]

# 出力形式
上記の情報を深く読み解き、以下の4つの項目について、具体的かつ示唆に富んだ回答を生成してください。

1.  **【思考を深めるための核心的な問い】**
    私たちがパーパスを見出すために、チームで議論すべき最も重要な問いを5つ挙げてください。私たちが提供した情報の本質を突くような、鋭い視点からの質問を期待します。

2.  **【パーパスステートメントの草案（3つの切り口）】**
    私たちの会社のパーパスとなりうる、感動的で記憶に残るステートメントの草案を、それぞれ異なる切り口（例：「事業活動」基点、「顧客への提供価値」基点、「社会への貢献」基点など）で3案提案してください。各案には、そのステートメントに込めた想いや背景の解説も添えてください。

3.  **【なぜ、私たちにパーパスが必要なのか】**
    私たちがパーパスを明確にすることで、具体的にどのようなメリット（例：採用、社員のモチベーション、事業判断の軸など）が生まれるのかを、私たちの会社の状況に合わせて3つ説明してください。

4.  **【パーパスを「自分ごと」にするための最初の一歩】**
    策定したパーパスを絵に描いた餅にせず、全社員が「自分ごと」として捉えるために、明日からでもすぐに始められる具体的なアクションプランや、小規模なワークショップのアイデアを提案してください。
」"
,7,会社の「らしさ」や「キャラクター」が曖昧で、顧客や取引先から「〇〇な会社だよね」という明確なイメージを持たれていない。,各部署が目の前の目標達成に集中しているため、会社全体の「らしさ」や「キャラクター」を統一していく、横断的な活動に時間を割けていない。,"「#### ▼▼▼ Geminiへのコピペ用プロンプト（会社の「らしさ」の明確化用） ▼▼▼
あなたは、中小企業の隠れた魅力を言語化し、独自のブランドを構築するプロのブランドコンサルタントです。

これから、私たちの会社の「らしさ」や「キャラクター」を明確にするための壁打ちをお願いします。現在、私たちの会社は、顧客や取引先から「〇〇な会社だよね」という明確なイメージを持たれていません。この状況を打破し、独自の存在感を確立したいと考えています。

あなたの専門的な視点から、私たちの会社の「らしさ」の核となる部分を引き出すための、体系的で具体的な質問リストを作成してください。質問は以下のカテゴリーに分けて、私たちが思考を整理しやすいように工夫してください。

**質問のカテゴリー:**
1.  **原点と情熱 (Why):** なぜこの事業を始めたのか？何に最も情熱を感じるか？
2.  **強みと独自性 (What):** 競合には絶対に負けない点は何か？顧客から最も褒められることは何か？
3.  **顧客との関係性 (How):** 顧客にとってどのような存在でありたいか？顧客と接する時に最も大切にしていることは何か？
4.  **価値観と文化 (Who):** どんな人たちが働いているか？社内で大切にされている暗黙のルールや価値観は何か？
5.  **目指す未来 (Where to):** 5年後、社会や顧客からどのような会社だと思われていたいか？

まずは、あなたが作成した上記のカテゴリーに沿った質問リストを提示してください。私がその質問に一つずつ回答します。
私の回答内容を深く分析し、私たちの会社の「らしさ」を象徴する**ブランドパーソナリティ（会社を人に例えた時の性格）**を複数パターン提案してください。

最終的には、決定したブランドパーソナリティを社内外に伝え、浸透させていくための具体的なアクションプランのアイデア（例：Webサイトのキャッチコピー案、SNSでの発信テーマ、採用活動でのアピールポイントなど）まで提案をお願いします。

では、最初のステップとして、**質問リストの提示**から始めてください。
」"
,8,ブランドのタグラインやキャッチコピーを、広告代理店の提案の中から「語感がいいから」という理由だけで選んでしまう。,ブランドのタグラインやキャッチコピーを、時間をかけてじっくり社内で開発する余裕がなく、外部の専門家の提案に頼ることが多くなる。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（ブランドのタグライン・キャッチコピー選定用） ▼▼▼

# 役割
あなたは、数々の中小企業のブランディングを成功に導いてきた、経験豊富なブランド戦略コンサルタントです。特に、企業の理念や価値を的確に言語化し、ターゲット顧客の心に響くタグラインやキャッチコピーを策定・評価することを得意としています。

# 依頼
以下の【私たちの会社情報】と【評価したい候補案】を基に、それぞれのタグライン/キャッチコピー案を、プロの視点から多角的に分析・評価し、最適な案を選ぶための客観的なアドバイスをください。
「語感がいいから」という主観的な理由だけでなく、ブランド戦略の観点から徹底的に評価することが目的です。

# 私たちの会社情報
*   **会社名・ブランド名:** 【ここに会社名やブランド名を入力】
*   **事業内容:** 【ここに事業内容を具体的に入力】
*   **ブランドの理念・ビジョン:** 【ここにブランドが目指す姿や大切にしている考え方を入力】
*   **メインターゲット顧客:** 【どんな人に商品を届けたいか、顧客像を具体的に入力】
*   **競合他社との違い・強み:** 【他社にはない、自社ならではの強みや特徴を入力】
*   **ブランドが提供する最も重要な価値（ベネフィット）:** 【顧客が商品やサービスから得られる、最も嬉しいことは何かを入力】

# 評価したい候補案
*   **候補1:** 【候補のタグライン/キャッチコピーを入力】
*   **候補2:** 【候補のタグライン/キャッチコピーを入力】
*   **候補3:** 【候補のタグライン/キャッチコピーを入力】
*   **候補4:** 【（もしあれば入力）】

# 指示
以下の形式に従って、評価結果を出力してください。

1.  **評価比較テーブルの作成:**
    *   以下の評価項目で、各候補案を5段階評価（1:低い～5:高い）し、そのスコアに至った具体的な理由を記述した比較表を作成してください。
    *   **評価項目:**
        *   **A. 戦略との整合性:** ブランドの理念やビジョンとどれだけ一致しているか？
        *   **B. ターゲットへの訴求力:** メインターゲット顧客の心に響き、共感を呼ぶか？
        *   **C. 提供価値の伝達力:** ブランドが提供する独自の価値（ベネフィット）が明確に伝わるか？
        *   **D. 差別化:** 競合他社と比べて、独自性や優位性を示せているか？
        *   **E. 記憶・再現性:** 覚えやすく、口ずさみやすいか？（語感の良さも含む）
        *   **F. 汎用性・展開性:** Webサイト、広告、名刺など様々な媒体で使いやすいか？

2.  **総合評価と推奨案:**
    *   上記評価テーブルの内容を踏まえ、総合的にどの候補案が最も優れているかを明確に示してください。
    *   なぜその案を推奨するのか、具体的な理由を論理的に説明してください。
    *   もし改善の余地があれば、その点についても提案してください。
」"
,9,提供している製品やサービスに一貫したコンセプトがなく、多角化と言えば聞こえはいいが、結局「何屋さん」なのか分からなくなっている。,それぞれの事業が目の前の利益を追求しているため、事業ポートフォリオ全体として、一貫したブランドコンセプトを維持するための調整が後手に回っている。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（事業コンセプトの再構築用） ▼▼▼

#役割
あなたは、中小企業のブランディングと事業再生を専門とする、経験豊富な経営コンサルタントです。企業の混沌とした状況から本質的な価値を見抜き、進むべき道を明確に指し示すことを得意とします。

#背景
私の会社は、様々な製品やサービスを手がけてきた結果、事業に一貫性がなくなり、顧客や社員から見ても「結局、何屋さんなのか」が分からなくなっている状況です。このままでは、経営資源が分散し、ブランドイメージも曖昧になる一方だと危機感を抱いています。

#依頼
以下の【私の会社の情報】を分析し、散らかった事業を統合する「一貫した事業コンセプト」を再定義してください。そして、そのコンセプトに基づいた今後の事業戦略について、具体的かつ実行可能なアクションプランを提案してください。

---

【私の会社の情報】

1.  **創業の経緯や理念、ビジョン：**
    （どのような想いで会社を立ち上げたのか、社会にどのような価値を提供したいと考えているのかを記入してください）

2.  **現在提供している製品・サービス一覧（できるだけ具体的に）：**
    - 製品/サービスA：
    - 製品/サービスB：
    - 製品/サービスC：
    - （※その他、あれば追記してください）

3.  **それぞれの製品・サービスの主なターゲット顧客と、提供している独自の価値：**
    - 製品/サービスA：
      - ターゲット：
      - 独自の価値：
    - 製品/サービスB：
      - ターゲット：
      - 独自の価値：
    - 製品/サービスC：
      - ターゲット：
      - 独自の価値：
    - （※その他、あれば追記してください）

4.  **会社全体として、顧客や取引先から評価されている点（強み）：**
    （例：技術力、顧客対応の丁寧さ、特定のノウハウ、小回りの利くスピード感など）

5.  **経営者が理想とする「5年後の会社の姿」：**
    （どのような会社になっていたいか、どのような評価を受けたいかを自由に記述してください）

---

#出力形式
上記の情報を基に、以下の構成で回答を生成してください。

1.  **現状分析と課題の特定：**
    - 現在の事業ポートフォリオの強みと弱みを客観的に分析してください。
    - 「何屋さんか分からない」状態に陥っている根本的な原因を特定してください。

2.  **コア・コンセプトの提案（3案）：**
    - すべての事業を貫くことができる、シンプルで力強い「事業の軸（コア・コンセプト）」を3つ提案してください。
    - それぞれのコンセプトに、覚えやすいキャッチコピーやタグラインを付けてください。
    - なぜそのコンセプトが最適なのか、論理的な理由も説明してください。

3.  **事業ポートフォリオの見直し案：**
    - 提案したコア・コンセプトの中から1つを選んだ場合、現在の各事業を「中核事業」「育成事業」「縮小・撤退検討事業」にどのように整理すべきか、具体的な見解を示してください。

4.  **明日から始めるべきアクションプラン：**
    - 新しいコンセプトを社内外に浸透させるための、具体的で実行可能な最初の3ステップを提案してください。中小企業の限られたリソースでも着手できる現実的な内容でお願いします。
」"
,10,自社の歴史や沿革を、ただの事実の羅列としてしか捉えておらず、そこに込められた価値や意味を見出せていない。,自社の歴史や沿革を、ブランディングの資産として活用するためのコンテンツ企画や情報発信に、時間をかけられていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（自社の歴史や沿革の価値発見用） ▼▼▼
あなたは、企業の歴史を分析し、その中に隠された独自の価値、強み、そして未来への指針を見つけ出す、経験豊富な経営コンサルタント兼ブランドストーリーテラーです。単なる事実の羅列から、従業員の心に響き、誇りとなるような「企業の物語」を紡ぎ出すことを得意とします。

これから私が所属する会社の歴史・沿革に関する情報を提供します。以下の【 】内に情報を入力しますので、あなたは提供された情報に基づいて、下記の【分析と出力のステップ】に従って分析を行い、私たちの会社の歴史に込められた本当の価値と意味を明らかにしてください。

【私の会社の歴史・沿革】
ここに会社の創業年、創業者、主な事業内容の変遷、大きな出来事（成功、困難など）、社是、社名の由来などを、わかる範囲で箇条書きで入力してください。


【分析と出力のステップ】
1.  **創業の精神（企業のDNA）の言語化:** 創業時の社会背景や創業者の想いを読み解き、私たちの会社の根幹にある「原点」や「使命」は何かを明らかにしてください。
2.  **ターニングポイントの意味づけ:** 危機や事業転換などの大きな出来事を「単なる事実」ではなく、「困難を乗り越えた知恵」「変化への適応力」「決断の背景にある価値観」といった観点から、それが今日の私たちにどのような影響を与えているかを解説してください。
3.  **受け継がれる強みと価値観の抽出:** 提供された複数の出来事から、時代を超えて一貫して受け継がれている「自社ならではの強み」や「大切にしている価値観（企業文化の源流）」を3つ特定し、簡潔に説明してください。
4.  **未来へ繋がる物語の提示:** 上記の分析を踏まえ、私たちが自社の歴史に誇りを持ち、今後の仕事に活かせるような、示唆に富んだ「私たちの会社の物語」として、300字程度でまとめてください。

最後に、この分析結果について私たちがさらに思考を深めるための、鋭い質問を3つしてください。
」"
