カテゴリ,番号,,想定シーン,プロンプト本文
"A. 戦略なき「とりあえず」施策 編

（目的やターゲット、自社の強みが曖昧なまま、思いつきや流行りに流されて場当たり的な活動に終始している状況）
",1,「BtoBだからWebマーケティングは関係ない」「うちの客層は高齢だからSNSは不要」といった思い込みで、最初から可能性を狭めている。,日々の業務に追われ、新しいWebマーケティング手法を学ぶ時間がなく、従来のやり方や既存の顧客層へのアプローチを優先してしまう。,"▼▼▼ Geminiへのコピペ用プロンプト（（マーケティングチャネルの固定観念）用） ▼▼▼

「
#役割設定
あなたは、「常識を疑え」を信条とする、データ駆動型のグロースハッカーです。多くの企業が「どうせ無理だ」と信じ込んでいる固定観念（思い込み）の中にこそ、競合が気づいていない最大のビジネスチャンスが眠っていると考えています。あなたの専門は、大きな予算をかける前に、最小限のコストと時間で、その固定観念が「真実」か「幻想」かを暴き出す、賢い「科学的実験」を設計することです。

#背景
私は、【あなたの会社名】の【あなたが所属する部署】で、【この状況を打開したい、あなたの名前】です。
私たちのチームでは、マーケティング戦略を議論する際に、【社内で信じられている、""思い込み""（例：「BtoBだからWebは関係ない」「うちの客層は高齢だからSNSは不要」）】といった、古くからの固定観念が議論の出発点になっています。
日々の業務に追われる中で、その「思い込み」が本当に正しいのかを、時間をかけて調査・検証することなく、【その思い込みによって、試すことすらできていない新しいマーケティング施策】といった、新しい可能性を最初から排除してしまっています。

#実行タ- スク
この「思考のショートカット」という名の機会損失から脱却するため、チームに根付いた固定観念を、楽しく、かつ、客観的な事実（ファクト）で検証するための、具体的な「ワークショップ」の企画書と、その中核となる「思考ツール」を考案してください。

【資料1】「""どうせ無理""を、""もしや""に変える！」思い込み破壊ワークショップ企画書

企画名: 我々の""常識""は、本当に正しいか？「思い込みバスターズ」第1回作戦会議

1. ワークショップの目的:

我々が「常識」だと信じていることを、一度すべて「検証すべき仮説」としてテーブルの上に並べる。

その仮説が真実か否かを、**最小限のコストと時間で白黒つけるための「小さな実験」**を設計すること。

2. ゴール:

ワークショップ終了時に、後述の「最小仮説検証・実験設計シート」が完成している。

「とりあえずやってみよう」という、根拠のない挑戦ではなく、「この仮説を検証するために、この実験をしよう」という、賢明な第一歩を踏み出すことにチームで合意している。

3. アジェンダ（案）

(1) イントロ：我々を縛る「見えない鎖」の正体（10分） - なぜ、思い込みは生まれるのか？

(2) ワーク１：我々の「常識」を告白しよう（20分） - チーム内に存在する「どうせ〇〇だ」を全て書き出す。

(3) ワーク２：「最小仮説検証」の実験設計（40分） - 最も影響の大きい「思い込み」を一つ選び、それを検証する実験を設計する。

(4) 実験開始の宣言（10分） - 誰が、いつまでに、何をやるかを決定する。

【資料2】会議で使う思考ツール：「最小仮説検証」実験設計シート

目的:
「〇〇は無理だ」という大きな思い込みを、「もし〇〇だとしたら、△△という結果が出るはずだ」という、検証可能な小さな「仮説」に分解し、具体的な実験計画に落とし込むためのツール。

実験設計ステップ        内容
1. 検証したい""思い込み""（問い）        （例：「うちの高齢層の顧客は、本当にSNSを使っていないのか？」）
2. ""思い込み""の言語化（仮説）        仮説：「当社の優良顧客（60代以上）のうち、日常的にSNS（LINE, Facebook, YouTube等）を利用している人は、10%未満である」
3. この仮説を検証する、最小・最速の""実験""は？        実験案： ・今週、営業担当者が訪問する優良顧客（60代以上）20名に、世間話のついでに「最近、LINEとかYouTubeとかお使いになりますか？」と聞いてみる。 ・顧客リストの上位30名の名前を、Facebookで検索してみる。
4. ""成功""の定義（仮説が正しかった/間違っていた、と判断する基準）        ・もし、20名中**4名以上（20%）が日常的に利用していると回答した場合、我々の仮説は「間違い」であり、SNS活用の可能性を再検討する。 ・もし、利用者が1名以下（5%）**だった場合、我々の仮説は「正しい」とみなし、一旦SNS以外の施策を優先する。
5. 必要な予算と期間        予算：0円 期間：1週間
6. 担当者        営業部 〇〇、マーケティング部 △△
#追加の依頼
この「思い込みバスターズ」の開催を、日々の業務に追われ、「そんなことより、目の前の仕事をしろ」と言いかねない上司に提案するにあたり、「これは、遠回りな調査ではなく、むしろ、無駄なマーケティング費用を未来にわたって削減するための、最も効率的なリスク管理なのだ」ということが伝わる、グロースハッカーであるあなたの視点からの、ロジカルな説得トークを教えてください。
」"
,2,誰に（ターゲット）、何を（価値）、どのように伝えるか（メッセージ）という戦略がないまま、いきなり「チラシを作ろう」「広告を出そう」と手段の話から入る。,目の前の施策をこなすのに手一杯で、ターゲットやメッセージといった、時間を要する根本的な戦略設計まで手が回らない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（戦略がないまま手段から入る状況用） ▼▼▼

あなたは、中小企業の限られたリソースを最大限に活用するための戦略を立案する、経験豊富なマーケティングコンサルタントです。

現在、私たちのチームでは「チラシを作ろう」「Web広告を出そう」といった具体的な「手段」の話が先行してしまい、その施策が「誰に、何を、どのように伝えるか」という最も重要なマーケティング戦略が固まらないまま進もうとしています。このままでは、効果の低い施策に時間とコストを浪費してしまうリスクが高いです。

そこで、以下のステップに従って、私たちが効果的なマーケティング戦略を立案できるよう、思考の整理を手伝ってください。

# ステップ1：戦略の重要性の解説
まず、「手段から考えること」の危険性と、「戦略（誰に、何を、どのように）を先に立てること」の重要性を、具体的な失敗例と成功例を交えながら、チームメンバーが納得できるように分かりやすく説明してください。

# ステップ2：戦略立案のための魔法の質問
次に、私たちが戦略の骨子を固めるための「魔法の質問」を以下の構成で作成してください。
1.  **【ターゲット顧客（誰に？）】を具体化するための質問リスト**
    （例：私たちの商品を本当に必要としているのは、どんな悩みを抱えた人ですか？）
2.  **【独自の価値（何を？）】を明確にするための質問リスト**
    （例：競合他社ではなく、なぜお客様は私たちから買うべきなのですか？その一番の理由は何ですか？）
3.  **【最適な伝え方（どのように？）】を見つけるための質問リスト**
    （例：そのターゲット顧客は、普段どこで情報を集めていますか？心に響くメッセージは何だと思いますか？）

# ステップ3：具体的な戦略案のたたき台作成
最後に、以下の【私たちのビジネス情報】を埋めたら、あなたがステップ2の質問への回答をシミュレーションし、具体的な「マーケティング戦略の骨子（たたき台）」と、その戦略に基づいた「施策アイデア（チラシや広告のコンセプト案など）」を提案してください。

---
【私たちのビジネス情報】
・商品／サービス名：
・主な特徴や強み：
・想定している顧客層（現状の仮説でOK）：
・今回のマーケティングの目的：
---
」"
,3,競合他社がFacebookを始めたからという理由だけで、自社もとりあえずアカウントを開設してしまう。,自社の戦略をじっくり練る時間がなく、目につきやすい競合の動きを見て、手早く始められる同様の施策に飛びついてしまう。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（競合に追随したSNSアカウント開設用） ▼▼▼

#役割
あなたは、中小企業のSNSマーケティングに精通した、経験豊富なWebマーケティングコンサルタントです。クライアントが抱える課題の本質を見抜き、具体的で実行可能な解決策を提示することを得意としています。

#背景
私たちは従業員30名ほどの中小企業です。先日、競合他社がFacebookアカウントを開設したのを見て、「うちもやらなければ」という焦りから、特に戦略を立てずに自社のFacebookアカウントを開設してしまいました。

#課題
いざアカウントを開設したものの、「何を投稿すればいいのか」「誰に向けて発信するのか」「最終的なゴールは何か」といった目的が全く定まっておらず、担当者も困惑しています。このままでは、貴重なリソース（時間・人）を無駄にしてしまうと強く懸念しています。

#命令
プロのコンサルタントとして、私たちの状況を打開するための具体的なアドバイスをください。以下のステップに従って、網羅的かつ実践的なアクションプランを提案してください。

1.  **現状分析とリスク指摘:**
    まず、私たちの「競合が始めたから、とりあえず始める」という行動の何が問題で、どのようなビジネス上のリスク（例: ブランドイメージの毀損、リソースの浪費など）があるのかを、プロの視点から厳しくも分かりやすく指摘してください。

2.  **目的設定の重要性と具体例:**
    次に、SNS運用において「目的（KGI）の設定」がいかに重要かを解説してください。その上で、私たちのような中小企業が設定すべき目的の具体例（例：採用応募者の増加、既存顧客との関係性強化によるLTV向上、地域での認知度向上、特定の商品のリード獲得など）を5つ挙げ、それぞれどのような効果が期待できるかを説明してください。

3.  **今からでもできる軌道修正アクションプラン:**
    上記の目的を踏まえ、私たちが今からでも軌道修正するために取り組むべき具体的なアクションプランを、以下の項目を含めてステップ・バイ・ステップで提案してください。
    *   **ステップ1: 目的とゴールの再設定:** どの目的を選ぶべきか、社内で議論するためのポイント。
    *   **ステップ2: ターゲット顧客（ペルソナ）の明確化:** 誰に情報を届けたいのかを具体化する方法。
    *   **ステップ3: 提供すべきコンテンツ（投稿内容）の方向性決め:** ターゲットが喜び、目的に貢献する投稿内容のアイデアを3つの切り口で提案。
    *   **ステップ4: 現実的な運用体制の構築:** 中小企業の限られたリソースで継続するための担当者、更新頻度、運用ルールの決め方。
    *   **ステップ5: 最低限見るべき指標（KPI）の設定:** 成果を測るために、これだけは見ておくべきシンプルな指標とその計測方法。

4.  **思考を促す質問リスト:**
    最後に、私たちが社内会議でこのアクションプランを議論する際に役立つ、「私たちのビジネスにとって、本当にこのSNSは必要なのか？」という根本的な問いを含んだ「思考を深めるための質問リスト」を箇条書きで10個作成してください。

#制約条件
- 回答は、SNS運用の初心者が読んでも理解できるように、専門用語を避け、平易な言葉で説明してください。
- 提案は、中小企業の限られたリソース（人、時間、予算）でも実行可能な、現実的なものにしてください。
- 箇条書きや太字を効果的に使用し、構造的で分かりやすいフォーマットで出力してください。
」"
,4,年間を通したマーケティング計画や予算計画が存在せず、すべてが場当たり的な判断で行われる。,年間を通したマーケティング計画を練る時間が確保できず、目の前に発生する課題への対応や、短期的な施策が中心になる。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（場当たり的なマーケティングからの脱却用） ▼▼▼

# 役割
あなたは、リソースが限られた中小企業の状況に精通した、経験豊富なマーケティングコンサルタントです。特に、場当たり的なマーケティングから脱却し、戦略的な計画をゼロから構築する支援を得意としています。

# 背景
私が所属する中小企業では、年間を通した明確なマーケティング計画や予算計画が存在しません。そのため、思いつきや競合の動向に左右された、場当たり的で短期的な施策ばかりを繰り返している状況です。結果として、施策に一貫性がなく、効果測定も曖昧で、マーケティング活動が売上にどう貢献しているのか不明確になっています。

# 依頼
この状況を打開し、戦略的なマーケティング活動へと移行するために、以下のステップに沿って具体的な行動計画を提案してください。

**1. 現状分析と課題特定のための「自己診断シート」:**
私たちがまず何から手をつけるべきかを明確にするため、以下の項目について分析するための質問リストを、表形式で作成してください。
*   ターゲット顧客
*   自社の強み・弱み (SWOT分析の簡易版)
*   競合の状況
*   過去のマーケティング施策とその結果 (分かっている範囲で)
*   利用可能なリソース（人員、予算、ツールなど）

**2. 年間マーケティング計画の「基本テンプレート」作成:**
以下の要素を含む、シンプルで実行可能な年間マーケティング計画のテンプレートを提案してください。各項目には、何をどのように考えればよいかの簡単な解説と具体例を添えてください。
*   年度目標（例：売上〇%向上、新規顧客〇〇件獲得）
*   ターゲット顧客の再設定
*   年間を通した主要な施策（例：SNSキャンペーン、Web広告、コンテンツマーケティング、イベント出展など）
*   施策のタイムライン（月別または四半期別）
*   主要なKPI（重要業績評価指標）の設定（例：ウェブサイトアクセス数、コンバージョン率、顧客獲得単価）

**3. マーケティング予算計画の「立て方ガイド」:**
専門家でなくても理解できるよう、マーケティング予算の基本的な考え方と、具体的な配分方法をステップバイステップで解説してください。特に、売上目標から逆算する方法や、施策ごとに予算を割り振る際の注意点を分かりやすく説明してください。

**4. 今すぐ始められる「最初の一歩」:**
壮大な計画に気圧されないよう、来週からでもすぐに取り組める具体的なアクションを3つ提案してください。

# 制約条件
*   提案はすべて、予算や人員が限られている中小企業でも実行可能な、現実的かつ低コストなものにしてください。
*   専門用語は極力避け、マーケティング初心者にも理解できる平易な言葉で説明してください。
*   箇条書きや表を効果的に使用し、構造的で分かりやすいアウトプットを生成してください。
」"
,5,マーケティングの目的が「売上向上」と漠然としており、「新規顧客獲得」「既存顧客の単価アップ」「ブランド認知度向上」など、具体的なKPIに分解できていない。,日々の施策の実行に追われ、マーケティングの目的を具体的なKPIにまで分解し、その進捗を測定・分析する時間を取れていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（マーケティング目的の具体化用） ▼▼▼

#役割
あなたは、中小企業の限られたリソースの中で成果を最大化することを専門とする、非常に優秀なマーケティング戦略コンサルタントです。

#背景
私は中小企業でマーケティングを担当しています。現在、会社全体のマーケティング目標が「売上向上」と非常に漠然としており、チームが具体的な行動計画を立てられずに困っています。このままでは、施策が場当たり的になり、効果測定も曖昧になってしまいます。

#依頼事項
「売上向上」という漠然とした目標を、具体的で測定可能なKPI（重要業績評価指標）に分解し、明日からのアクションに繋がるような戦略的な示唆を与えてください。以下の【前提条件】を考慮し、【出力形式】に従って、網羅的かつ分かりやすく提案してください。

---

### 【前提条件】
*   **業種:** [例：BtoCのECサイト、地域の飲食店、BtoBのITソリューションなど、あなたの業種を記入してください]
*   **主な商品/サービス:** [例：ハンドメイドのアクセサリー、ランチセット、中小企業向け会計ソフトなど、あなたの商材を記入してください]
*   **主なターゲット顧客:** [例：20代のファッションに敏感な女性、近隣のオフィスワーカー、従業員50名以下の企業の経理担当者など、あなたの顧客像を記入してください]

---

### 【出力形式】
1.  **売上向上の因数分解:**
    *   まず、「売上」を構成する基本的な要素を数式（例：「売上 = 顧客数 × 顧客単価 × 購入頻度」）で示してください。

2.  **3つの戦略的アプローチとKPIの提案:**
    *   上記の数式を元に、「売上向上」を達成するための主要な戦略アプローチを以下の3つに分類してください。
        *   **A. 新規顧客を獲得する**
        *   **B. 既存顧客の単価・頻度を上げる (LTV向上)**
        *   **C. ブランド価値を高める (間接的な売上貢献)**
    *   それぞれのアプローチに対して、設定すべき具体的なKPIを少なくとも3つずつ提案してください。その際、以下の項目を含めて表形式でまとめてください。
        *   **KPI名:** (例: 新規顧客獲得数, CVR(コンバージョン率), 平均注文単価(AOV), リピート率)
        *   **KPIの定義:** (その指標が何を表しているのかを簡潔に説明)
        *   **測定方法の例:** (どうやってその数値を計測するかの具体例)
        *   **KPI改善のためのアクション例:** (そのKPIを改善するために考えられる具体的な施策のアイデア)

3.  **優先順位付けの提案:**
    *   提示したKPIの中から、【前提条件】で私が入力した事業内容を踏まえて、現段階で最も優先的に注力すべきアプローチ（A, B, Cのいずれか）と、その中で特に重要なKPIを1つだけ選定してください。
    *   なぜそのアプローチとKPIが最優先であるべきなのか、その選定理由を中小企業の視点から具体的に説明してください。

」"
,6,自社の「強み」や「独自性」が言語化されておらず、他社と似たり寄ったりのありきたりなアピールしかできていない。,自社の「強み」や「独自性」を、時間をかけて言語化し、社内で共通認識とするプロセスが不足しているため、ありきたりな表現になりがち。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（自社の強み・独自性の言語化用） ▼▼▼
#役割
あなたは、企業の隠れた魅力を言語化するプロの経営コンサルタントです。クライアントに質問を投げかけることで、その企業ならではの「真の強み」と「独自性」を発見し、輝かせることを得意としています。

#目的
私の会社の「真の強み」と「独自性」を言語化し、ありきたりではない、顧客に響くアピールポイントを発見すること。

#実行プロセス
1.  あなたは私（クライアント）に、私たちの会社の「真の強み」と「独自性」を発見するための質問を、**一度に一つだけ**してください。
2.  私があなたの質問に回答します。
3.  私の回答を受けて、あなたは分析に必要な情報を引き出すために、さらに質問を重ねてください。質問は、以下の視点を参考に、あなた独自の切り口でお願いします。
    *   **顧客について:** なぜお客様は競合ではなく私たちを選んでくれるのか？お客様から特に喜ばれている点は何か？
    *   **商品・サービスについて:** 最もこだわっている部分はどこか？開発で苦労した点は何か？
    *   **歴史や文化について:** 創業時の想いや、社内で大切にされている価値観は何か？
    *   **技術やプロセスについて:** 他社が真似できない、独自のやり方や工夫はあるか？
    *   **社員について:** 社員はどんな人たちか？どんな働き方をしているか？
4.  この対話を繰り返し、分析に十分な情報が集まったとあなたが判断した時点で、私に「分析に入ります」と宣言してください。
5.  最後に、以下の形式で最終的な分析結果をまとめてください。

#最終的な出力形式
---
### **【貴社の「真の強み」と「独自性」分析レポート】**

**1. 貴社だけのユニークな価値（独自性）:**
*   （私たちの対話から導き出された、貴社の中核となる独自性を簡潔な一文で表現）

**2. ３つのコア・ストレングス（強み）:**
*   **強み1:** （強みの名称）
    *   **理由と顧客にとっての価値:** （なぜそれが強みと言えるのか、顧客にどんなメリットがあるのかを具体的に説明）
*   **強み2:** （強みの名称）
    *   **理由と顧客にとっての価値:** （なぜそれが強みと言えるのか、顧客にどんなメリットがあるのかを具体的に説明）
*   **強み3:** （強みの名称）
    *   **理由と顧客にとっての価値:** （なぜそれが強みと言えるのか、顧客にどんなメリットがあるのかを具体的に説明）

**3. 明日から使えるアピールフレーズ案:**
*   （見込み客の心に響くキャッチコピーやWebサイトで使える紹介文を3案提案）
---

それでは、準備はできました。最初の質問を始めてください。
」"
,7,新しい施策を始めるときに、常に「過去にやったことがあるか」という前例主義で判断され、新しい挑戦がしにくい。,新しい挑戦には、調査や学習に多くの時間が必要なため、過去の前例を踏襲する方が、効率的に業務を進められるという判断が働きやすい。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（新しい施策への前例主義対策用） ▼▼▼

#役割
あなたは、変化を恐れる中小企業のマネジメント層を数多く変革してきた、経験豊富な経営コンサルタントです。特に、前例主義を打破し、新しい挑戦を成功に導くための説得術と交渉術に長けています。

#背景
私は中小企業に勤務しており、新しい施策【※ここにあなたが提案したい施策を具体的に記入してください】を提案したいと考えています。しかし、私の上司や経営層は「過去にやったことがあるか？」を重要な判断基準にする傾向が強く、前例のない新しい挑戦に対して非常に慎重（あるいは否定的）です。

#課題
この「前例主義の壁」を乗り越え、施策の必要性と将来性を論理的かつ感情的に伝え、関係者から承認と協力を取り付けるための具体的なアクションプランが必要です。

#命令
以下のステップに従って、私が明日からすぐに使える、網羅的で説得力のあるコミュニケーション戦略を提案してください。

1.  **説得シナリオの構築**:
    *   提案の核心的なメリットを、会社の利益に直結する形で3つ挙げてください。
    *   「前例がない」という懸念を逆手に取り、「だからこそチャンスがある」という先行者利益や市場開拓の可能性を伝えるための、説得力のあるトークスクリプトを作成してください。

2.  **想定される反論と切り返しトーク集**:
    *   前例主義の上司や同僚が言いそうな反論を5つ予測してください。（例：「失敗したら誰が責任を取るんだ？」「昔も似たようなことをやってダメだった」「今のままでも問題ない」など）
    *   それぞれの反論に対して、相手の立場を尊重しつつ、データや客観的な事実を交えて冷静に切り返すトーク例を具体的に作成してください。

3.  **段階的な合意形成プラン**:
    *   いきなり完全な承認を目指すのではなく、小さな成功体験を積み重ねて信頼を得るための「スモールステップ案」を3つ提案してください。具体的には、低コスト・低リスクで始められるテスト案や、部分導入の計画を提示してください。

4.  **提案資料の骨子**:
    *   この施策を説明するためのシンプルな提案資料（A4で1〜2枚程度）に盛り込むべき項目を、箇条書きで示してください。特に「懸念されるリスクと、その具体的な対策」の項目は必ず含めてください。
」"
,8,「マーケティング＝広告宣伝」としか考えておらず、価格設定（Price）、製品（Product）、流通（Place）といった他の要素との連動が考えられていない。,「マーケティング＝広告宣伝」という分かりやすい施策に時間が割かれ、価格設定や流通チャネルといった、より上流の戦略まで検討が及ばない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（マーケティング＝広告宣伝と思い込んでいる状況用） ▼▼▼

あなたは、数多くの中小企業を成功に導いてきた、経験豊富なマーケティングコンサルタントです。

私は中小企業で働く者ですが、社内のマーケティングに対する考え方が「広告宣伝（Promotion）」に極端に偏っており、価格設定（Price）、製品（Product）、流通（Place）といった他の重要な要素との連携が全く考慮されていないという大きな課題を抱えています。

この状況を打開するため、以下の私たちのビジネス情報を基に、マーケティング戦略全体を最適化するための具体的なアドバイスを、以下のステップに従って提案してください。

**# 私たちのビジネス情報**
*   **業種:** `[ここにあなたの会社の業種を記入]`
*   **主力商品/サービス:** `[ここに具体的な商品やサービス名を記入]`
*   **商品/サービスの特徴とターゲット顧客:** `[ここに商品の強みや、どのような顧客を狙っているかを記入]`
*   **現在行っている広告宣伝活動:** `[ここに現在行っている広告や宣伝活動を具体的に記入（例：リスティング広告、チラシ配布、SNS投稿など）]`

**# 提案のステップ**

**ステップ1: 現状分析と課題の明確化**
上記のビジネス情報と、「広告宣伝に偏っている」という状況を踏まえ、マーケティングの4P（Product, Price, Place, Promotion）の観点から、現状潜んでいる可能性のある課題やリスクを具体的に分析・指摘してください。特に、「広告宣伝だけを頑張っても、なぜ成果が出にくいのか」を論理的に説明してください。

**ステップ2: 4P連携による改善アイデアの提案**
ステップ1の分析に基づき、4つのPが効果的に連携するような、具体的な改善アイデアを各要素について複数提案してください。
*   **Product（製品）の改善案:** 例）顧客の声を反映した改良、パッケージの変更など
*   **Price（価格）の改善案:** 例）価値に見合った価格への見直し、松竹梅のプラン導入など
*   **Place（流通）の改善案:** 例）新たな販売チャネルの開拓、オンラインストアの強化など
*   **Promotion（広告宣伝）の改善案:** 例）他の3Pの変更点を効果的に伝える新しいメッセージの作成、ターゲットに合った媒体の見直しなど

**ステップ3: 明日からできるアクションプラン**
提案した改善アイデアの中から、私たちが明日からすぐに着手できる最も重要なアクションを3つ、優先順位をつけて提案してください。その際には、「なぜその優先順位なのか」という理由も明確に示してください。

**# 出力形式**
*   専門用語は避け、中小企業の担当者が理解しやすい平易な言葉で説明してください。
*   各ステップは明確に見出しを立て、箇条書きを効果的に使用して、分かりやすく整理してください。

」"
,9,複数のマーケティング施策（Web広告、チラシ、展示会など）がそれぞれバラバラに行われ、一貫したメッセージを発信できていない。,複数のマーケティング施策を、少人数（あるいは一人）で回しているため、各施策の連携まで手が回らず、それぞれが単発で動いてしまう。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（マーケティング施策のメッセージ不統一用） ▼▼▼

#役割
あなたは、中小企業の限られたリソースと実情を深く理解している、非常に優秀なマーケティングコンサルタントです。

#背景
私の会社では、Web広告、チラシ、展示会などのマーケティング施策が、担当者ごとに個別最適で進められてしまっています。その結果、各施策で発信するメッセージがバラバラになり、顧客に一貫したブランドイメージを伝えられていません。このままでは、マーケティング全体の効果が最大化できないと危惧しています。

#目的
この課題を解決するため、全てのマーケティング活動の軸となる「一貫したメッセージ」を定義し、それを各施策に展開するための具体的で実行可能なアクションプランを提案してください。

#入力情報
以下の情報を基に、最適な提案をお願いします。

*   **私たちの会社/事業内容**: [ここに会社名や事業内容を具体的に記入してください]
*   **ターゲット顧客**: [どのような顧客に届けたいか、年齢、性別、悩み、価値観などを具体的に記入してください]
*   **主力商品/サービス**: [商品名やサービス内容を具体的に記入してください]
*   **商品/サービスの最大の強み・独自性(USP)**: [「競合と比べてここが違う」「顧客にとっての最大のメリット」を記入してください]
*   **現在バラバラに行われている施策リスト**: [例：Google広告、Instagram運用、地域新聞へのチラシ折込、年2回の展示会出展など]
*   **マーケティング活動の最終目標**: [例：新規問い合わせを3ヶ月で20%増やす、若年層のブランド認知度を向上させるなど]

#出力指示
上記の入力情報に基づき、以下のステップで構成されたアクションプランを、マークダウン形式で分かりやすく作成してください。

1.  **【ステップ1】 統一コアメッセージの提案**
    *   ターゲット顧客の心に最も響き、かつ私たちの強みを端的に表現する「コアメッセージ」を、キャッチコピーのような覚えやすい形で3案提案してください。

2.  **【ステップ2】 各施策への具体的な展開案**
    *   ステップ1で提案したコアメッセージの中から最も効果的だと思われるものを1つ選び、それを「現在バラバラに行われている施策リスト」のそれぞれに、どのように落とし込むかを具体的に示してください。
        *   **Web広告の場合**: どのような見出しや説明文にするか
        *   **チラシの場合**: どのようなキャッチコピーやデザインの方向性にするか
        *   **展示会の場合**: ブースのコンセプトや配布資料で何を強調すべきか
        *   ※リストにある他の施策についても同様に具体案を提示してください。

3.  **【ステップ3】 メッセージの一貫性を保つためのルール**
    *   今後、新たな施策を追加する際にメッセージがブレないようにするための、誰でも使えるシンプルな「チェックリスト」（3〜5項目）を作成してください。

#制約条件
*   大企業のような多額の予算はかけられません。中小企業がすぐに実行できる、現実的でコストを抑えたアイデアを重視してください。
*   専門用語は可能な限り避け、マーケティングの専門家でなくても理解できる平易な言葉で説明してください。
」"
,10,展示会への出展が、毎年恒例の「行事」になっており、明確な目標（名刺獲得数、商談化数など）を立てずに参加している。,毎年恒例の展示会への出展準備に追われ、その年の目標設定や、出展後のフォローアップ計画まで、じっくりと時間をかけて練ることができていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（目標設定なき展示会出展用） ▼▼▼
#役割
あなたは、中小企業の展示会出展を数多く成功に導いてきた、経験豊富なマーケティングコンサルタントです。

#背景
私が所属する中小企業では、毎年恒例の行事として展示会に出展しています。しかし、出展すること自体が目的化しており、「名刺を何枚獲得する」「商談を何件設定する」といった具体的な数値目標を立てずに参加しているため、投資対効果が全く見えません。

#依頼
この「形骸化した展示会出展」を、「戦略的なリード獲得の場」に変革するための、具体的で実践的なアドバイスをください。

#出力指示
以下の3つのステップで、体系的な提案をしてください。
1.  **問題点の指摘:** まず、目標設定の重要性と、目標がないまま出展を続けることの最大のリスクを、経営者にも響くように鋭く指摘してください。
2.  **目標設定の提案:** 次に、私たちが設定すべき「成果につながる目標（KGI/KPI）」の具体例を、測定のしやすさも考慮して複数提案してください。
3.  **アクションプランの提示:** 最後に、設定した目標を達成するためのアクションプランを、【展示会の準備期間】【展示会当日】【展示会終了後】の3つのフェーズに分けて、明日からでも実行できるレベルで具体的に、かつ体系的に示してください。

#形式
回答は、専門用語を避け、中小企業の担当者がすぐに行動に移せるような、分かりやすい言葉と箇条書きを使って構成してください。
」"
