カテゴリ,番号,,想定シーン,プロンプト本文
"A. 思い込みと視野狭窄 編

（「業界の常識」や過去の成功体験に縛られ、市場の正しい姿や変化の兆候を見ようとしない状況）",1,長年いるベテラン社員の「この業界では昔からこうだから」という一言で、新しい市場の可能性や分析の切り口が却下される。,日々の業務に追われる中、新しい分析手法を学ぶ時間がなく、長年いるベテラン社員の経験則や過去のやり方が優先されがちになる。,"▼▼▼ Geminiへのコピペ用プロンプト（（ベテランの経験則による停滞）用） ▼▼▼

「
#役割設定
あなたは、業界の構造変化を専門とする経営戦略コンサルタントです。あなたの専門は、過去の成功体験や「業界の常識」といった、組織に深く根付いた""思い込み""を尊重しつつも、客観的なデータや新しい視点（""未来の兆候""）を提示することで、チームの思考をアップデートし、新しい挑戦へと導くことです。「最高の地図も、大地が動けば役に立たない」が信条。

#背景
私は、【あなたの会社名】で、【この状況を打開したい、あなたの名前】です。
現在、【あなたが提案したい、新しい市場の可能性や分析の切り口】について議論したいのですが、【「昔からこうだ」と主張する、経験豊富なベテラン社員（〇〇さん）】が、【〇〇さんが根拠としている、過去の業界の常識や成功体験】を盾に、「この業界では昔からこうだから」と、新しい視点での議論を始める前に、話を打ち切ってしまいます。
日々の業務に追われる中で、時間をかけて新しい可能性を議論するよりも、過去の実績という分かりやすい判断基準が優先されてしまう状況です。

#実行タスク
この「過去の常識」という見えない壁を突破し、ベテラン社員の経験も尊重しながら、チームに新しい視点をもたらすための、建設的な「議論のたたき台」となる資料を作成してください。

【資料】「""過去の常識""と""未来の兆候""」比較検証シート

目的:
ベテランの経験則という「過去からの貴重な教訓」と、データが示す「未来の可能性」を、感情的に対立させるのではなく、同じテーブルの上で客観的に比較・検討し、我々が「今、本当に向き合うべきこと」を見つけ出すこと。

テーマ: 【あなたが提案したい、新しい市場の可能性や分析の切り口】について

比較項目        尊重すべき「過去の常識」 （なぜ、今までは、それで良かったのか？）        直視すべき「未来の兆候」 （なぜ、これからは、違うかもしれないのか？）
【顧客】        （例：顧客は、電話での手厚いサポートを最も重視する）        （例：最近のWebサイトのアクセスログを見ると、若年層のチャットボット利用率が急増している）
【競合】        （例：我々の競合は、国内のA社とB社だけである）        （例：海外のC社が、全く新しいビジネスモデルで、我々の顧客層を少しずつ奪い始めている）
【技術】        （例：この業界では、〇〇という技術が最も信頼性が高い）        （例：△△という新技術の登場により、コストを1/10にできる可能性が出てきた）
【価値】        （例：顧客は、製品の「耐久性」に最もお金を払う）        （例：最近のアンケートでは、「デザイン性」や「使いやすさ」を重視する声が増加傾向にある）
【議論すべき、最も重要な論点】

「過去の常識」が通用しなくなった（あるいは、通用しなくなりつつある）背景には、どんな「根本的な市場の変化」があるだろうか？

我々が「未来の兆候」と捉えているこの変化は、一過性のブームか、それとも不可逆的なトレンドか？

この「未来の兆候」が本物かどうかを、**最小限のコストと時間で検証する「小さな実験」**をするとしたら、どんなことができるだろうか？

（例：Webサイトで、1週間限定の新しいコンセプトのA/Bテストを実施してみる）

（例：ベテランと若手の合同チームで、新しい顧客層に5人だけヒアリングに行ってみる）

#追加の依頼
この検証シートを使って、ベテランの〇〇さんと議論を始めるにあたり、彼/彼女が「自分の経験を否定された」と感じず、むしろ**「自分の経験を、新しい時代に適応させるための、良い機会だ」と前向きに捉えてくれるような、敬意に満ちた切り出し方（トークスクリプト）**を教えてください。
（例：「〇〇さんの『この業界では昔からこうだ』というお話は、我々にとっての""正史""であり、最も貴重な資産です。その上で、最近起きている""新しい事件（未来の兆候）""について、この正史の著者である〇〇さんのご意見を、ぜひお伺いしたいのです」のような語り口）
」"
,2,全く違う業界の企業が、新しいテクノロジーやビジネスモデルで自分たちの市場に参入してくる「異業種からの脅威」に気づいていない。,目の前の競合の動向を追うのに精一杯で、全く違う業界で起きている技術革新や新しいビジネスモデルまで、視野を広げる余裕がない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（報告会の質疑応答が活かされない状況用） ▼▼▼
# 命令
あなたは、数々の中小企業の課題解決を支援してきた、経験豊富なビジネスコンサルタントです。
今回は、報告会で出た貴重な質問や指摘が次のアクションに繋がらず、「やりっぱなし」になってしまうという課題を解決します。
以下の入力情報に基づき、報告内容を深化させ、具体的な次のアクションに繋げるための分析と提案を、下記の出力形式に沿って行ってください。

# 入力情報
【報告会のテーマ】：
（例：上半期の営業実績と下半期の施策について）

【報告内容の要旨】：
（例：上半期は目標比95%で未達。原因は新規顧客獲得の遅れ。下半期は既存顧客へのクロスセル強化と、Web広告からのリード獲得を重点施策とする。）

【実際に出た質問・指摘事項リスト】：
※箇条書きで具体的かつ客観的に記入してください。
- 
- 
- 
- 

# 出力形式
## 1. 質疑応答の整理と分析
各質問・指摘事項を以下のテーブル形式で整理・分析してください。
| 質問・指摘事項 | 分類 | 背景にある意図・懸念の推察 |
| :--- | :--- | :--- |
| （質問・指摘1） | （例：事実確認、深掘り要求、懸念表明、代替案） | （例：報告内容の前提条件に対する疑問、潜在的リスクへの不安、より効果的な打ち手があるのではないかという視点） |
| （質問・指摘2） | | |
| ... | | |

## 2. 次のアクションプラン提案
上記の分析を踏まえ、各質問・指摘事項を解決・反映させるための具体的なアクションプランを以下のテーブル形式で提案してください。
| 質問・指摘事項 | 推奨される次のアクション（具体的かつ実行可能なレベルで） | 担当者（案） | 期限（案） |
| :--- | :--- | :--- | :--- |
| （質問・指摘1） | （例：Web広告のCPA実績について、代理店に詳細データを確認し再集計する） | 報告者 | 3営業日以内 |
| （質問・指摘2） | | | |
| ... | | | |

## 3. 「やりっぱなし」を防ぐための仕組み化提案（3つ）
今回の学びを定着させ、今後、報告会の質疑応答を確実に次のアクションに繋げるための、効果的で実行しやすい仕組みやルールを3つ提案してください。
1. **（提案1）**: 
2. **（提案2）**: 
3. **（提案3）**: 
」"
,3,競合企業を、いつも同じ特定の数社に固定しており、新興企業やスタートアップの動向を全くウォッチしていない。,既存の主要な競合数社の動向を追うだけで手一杯になり、次々と生まれる新興企業やスタートアップの情報をキャッチアップするまで手が回らない。,"「#### ▼▼▼ Geminiへのコピペ用プロンプト（競合の脅威を煽られた時用） ▼▼▼
#役割
あなたは、中小企業の経営課題解決を専門とする、非常に冷静かつ論理的な経営戦略コンサルタントです。感情論に流されず、客観的な事実に基づいて、具体的で実行可能なアクションプランを提示することを得意としています。

#背景
私は中小企業に勤務しています。現在、社内で特定の競合企業の脅威が過度に煽られており、「このままだと我が社は潰される」といった論調が広がっています。しかし、その脅威を指摘するだけで、具体的な対策案が全く示されないため、私を含め多くの社員が「で、結局どうすればいいんだ？」という不安と無力感を抱えています。この状況を打開し、建設的な議論と行動につなげるための思考整理を手伝ってください。

#指示
以下の情報をもとに、私たちがとるべき具体的なアクションを体系的に示してください。

## 入力情報
*   **自社の事業内容・強み**: [ここに自社の事業、製品、サービスの概要と、顧客から評価されている強みを簡潔に記入してください]
*   **煽られている競合の脅威**: [ここに、社内で指摘されている競合企業の名前、脅威とされる具体的な内容（例：新商品、低価格戦略、画期的なサービスなど）を客観的に記入してください]

## アウトプットの要件
以下の4つのステップに従って、分析と提案を生成してください。

### ステップ1：脅威の冷静な分析
1.  **事実と憶測の分離**: 「煽られている競合の脅威」を、客観的な「事実」と、感情的な「誇張・憶測」の可能性に分類してください。
2.  **機会とリスクの特定**: この状況が、自社にとっての「真のリスク（最悪のシナリオ）」と、逆転の発想による「ビジネスチャンス（最高のシナリオ）」を、それぞれ3つずつ具体的に挙げてください。

### ステップ2：具体的な対策オプションの提示
1.  **多角的な戦略**: 競合の脅威に対抗するための具体的な対策案を、以下の3つの視点から、それぞれ2つ以上提案してください。
    *   **防御戦略**: 既存の顧客やシェアを守るための戦略
    *   **攻撃戦略**: 新たな市場や顧客を獲得するための戦略
    *   **差別化戦略**: 自社の強みを活かして、競合とは違う土俵で戦う戦略
2.  **オプションの評価**: 各対策案について、「期待できる効果」「想定されるデメリット」「実現難易度（高・中・低）」を明記した比較表を作成してください。

### ステップ3：明日から始めるアクションプラン
1.  提案した対策案の中から、最も効果的かつ即時性のあるものを1つ選んでください。
2.  その対策案を実行に移すための「最初の具体的な一歩（ベビーステップ）」を、担当者と期限を仮定して5つ、箇条書きで示してください。（例：【担当：〇〇】〇月〇日までに、競合製品の利用者レビューを30件収集・分析する）

### ステップ4：社内への建設的な働きかけ
*   この分析結果を、不安を煽るだけの上司や、無力感に陥っている同僚に共有する際の「伝え方のポイント」を3つ提案してください。感情的な反発を避け、前向きな議論を始めるための具体的な言い回しの例も示してください。
」"
,4,自社の「本当の競合」が、同じ製品を売る会社ではなく、顧客の課題を別の方法で解決するサービス（代替品）である可能性に気づいていない。,自社製品と直接競合する製品の分析に時間がかかり、顧客の課題を別の方法で解決する「代替品」の動向まで調査が及ばない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（部署間の連携不足用） ▼▼▼
# 指示
あなたは、数多くの中小企業の組織課題を解決してきた、経験豊富な組織開発コンサルタントです。
以下の前提条件と課題を深く理解し、私が明日から行動できるような、具体的かつ実践的な解決策を体系的に提案してください。

# 前提条件
- 会社：中小企業
- 関係部署：
    - 【調査・分析を行う部署名（例：マーケティング部、経営企画室など）】
    - 【戦略を実行する事業部名（例：営業部、製造部など）】
- 私の立場：【あなたの役職や立場（例：マーケティング部のマネージャー、全社横断プロジェクトのリーダーなど）】

# 課題
調査・分析部署と事業部の間に見えない壁があり、情報連携が極めて非効率になっています。
- **分析部署から事業部へ：** 分析レポートや市場データが一方的に共有されるだけで、事業部の現場の戦略やアクションに十分に活かされていない。事業部側は「データが難解で使えない」「現場の実態と合わない」と感じている。
- **事業部から分析部署へ：** 現場で得られた顧客の生の声や、競合の最新動向といった貴重な情報が分析部署にフィードバックされず、分析の精度が上がらない。

# 出力形式
以下の5つのステップに従って、具体的なアクションプランを作成してください。

1. **【ステップ1：根本原因の診断】**
   この問題の根本原因として考えられることを、「組織構造」「コミュニケーションの仕組み」「評価制度」「組織文化」の4つの観点から多角的に分析し、チェックリスト形式で提示してください。

2. **【ステップ2：短期的な応急処置プラン（1ヶ月以内）】**
   明日からでも始められる、即効性のある具体的なアクションを3つ提案してください。各アクションには「目的」「具体的な進め方」「成功のための秘訣」を必ず含めてください。

3. **【ステップ3：中長期的な根本解決プラン（3ヶ月～1年）】**
   組織の仕組みや文化に働きかける、より本質的な解決策を3つ提案してください。各解決策には「目的」「具体的なロードマップ」「想定される障壁と対策」を必ず含めてください。

4. **【ステップ4：キックオフミーティングの設計】**
   両部署の連携を強化するための「キックオフミーティング」をあなたがファシリテートする想定で、以下の項目を具体的に作成してください。
   - 会議名
   - 目的（ゴール設定）
   - 参加者
   - 所要時間
   - 詳細なアジェンダ（時間配分と各項目の内容を含む）
   - 会議を成功させるためのアイスブレイクのアイデア

5. **【ステップ5：説得のためのコミュニケーション案】**
   この改革に協力的でない可能性のある上司や他部署のメンバーを説得するために、私が伝えるべきメッセージの要点を、以下の構成で簡潔にまとめてください。
   - **現状の問題点とリスク：**「このままでは、どのような機会損失やリスクがあるか」
   - **提案する解決策の概要：**「具体的に何を目指すのか」
   - **相手にとってのメリット：**「この改革によって、相手の部署や個人にどのような良いことがあるか」
   - **協力のお願い：**「具体的にお願いしたいこと」
」"
,5,過去の成功体験が強すぎて、「あの時うまくいったんだから、今も大丈夫」と市場の変化から目をそむけている。,過去の成功体験は、短時間で応用できるため重宝されるが、市場の変化をゼロから調査・分析するという、時間のかかるプロセスは後回しにされがち。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（（一度作ったレポートを、定期的にアップデートする仕組みがなく、情報がどんどん陳腐化していく）用） ▼▼▼
あなたは、中小企業の業務プロセス改善を専門とする、経験豊富なコンサルタントです。特に、データの価値を最大化し、属人化を防ぐ仕組み作りのプロフェッショナルです。

# 相談内容
私の勤める中小企業では、一度作ったレポートが更新されずに情報が陳腐化してしまう、という深刻な課題を抱えています。この問題を根本から解決し、レポートを常に価値ある「生きた情報源」として活用できる体制を整えたいです。

# 状況の詳細
- **陳腐化しているレポート:** [ここにレポートの名前を入力。例：月次売上レポート、競合分析レポート]
- **レポートの本来の目的:** [ここにレポートが何のために作られたかを入力。例：経営会議での意思決定、営業戦略の立案]
- **現在の担当者とプロセス:** [誰が、どのように作っているかを入力。例：AさんがExcelで手作業で作成。更新は依頼があった時のみ]
- **課題:** [具体的な課題を入力。例：作成に時間がかかる、担当者しか作り方が分からない、更新のルールがない、そもそも誰も見ていない]

# 提案依頼
上記の状況を踏まえ、このレポートが陳腐化するのを防ぎ、持続的に価値を生み出すための「レポート更新の仕組み化プロジェクト」を立案してください。
提案は、以下の構成で、具体的かつ実行可能なアクションプランとして提示してください。

## 1. プロジェクトの全体像とゴール設定
- この仕組み化によって達成すべき具体的な目標（KPI）を3つ提案してください。

## 2. 仕組み構築のステップバイステップ・ガイド（4ステップ）
- **ステップ1：現状分析と目的の再定義:** 何を、どのように見直すべきか。このレポートが本当に必要かどうかの判断基準も示してください。
- **ステップ2：理想のプロセスの設計:** 「誰が、いつ、何を、どのように更新するか」というルールを具体的に定義してください。
- **ステップ3：ツールの選定と導入:** 中小企業でも導入しやすい、低コストまたは無料のツール（例: Googleスプレッドシートの関数活用、Looker Studio (旧Googleデータポータル)、自動化ツールなど）を複数候補挙げ、それぞれのメリット・デメリットを説明してください。
- **ステップ4：定着化と改善:** 作った仕組みを形骸化させないための工夫（例：更新内容の共有方法、レポート活用会議の設置など）や、定期的な見直しの方法を提案してください。

## 3. すぐに使えるテンプレート
- **役割分担表（RACIチャート）の雛形:** この仕組みを運用するための役割（責任者、実行担当者、情報提供者、承認者）を定義し、タスクを割り振るための表を作成してください。
- **更新作業チェックリストの雛形:** 更新作業を標準化し、誰でも同じ品質で作業できるようにするためのチェックリストのサンプルを作成してください。

# 制約条件
- 提案は、専門知識がない担当者でも理解・実行できるレベルで記述してください。
- 机上の空論ではなく、リソースの限られた中小企業で実践できる現実的な内容にしてください。
」"
,6,自社の顧客を「うちの会社のファンだから」と思い込み、顧客が競合製品を併用したり、乗り換えを検討したりしている事実を直視しない。,目の前の顧客対応に追われ、顧客が競合製品を併用したり、乗り換えを検討したりしているという、耳の痛い情報を深くヒアリングする時間を取れていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（情報共有文化の欠如用） ▼▼▼
あなたは、中小企業の組織変革を数多く成功させてきた、経験豊富な組織開発コンサルタントです。特に、心理的安全性を確保しながら、データを活用したオープンな情報共有文化を醸成するプロフェッショナルです。

#背景
私が所属する中小企業では、データ分析の結果や市場調査のレポートなど、事業に関する重要な情報が、経営層や一部の部署内だけで共有されています。特に、売上不振や顧客からのネガティブなフィードバックといった「悪い情報」ほど、全社に共有されず、一部の人間しか知らない「情報のサイロ化」が慢性化しています。
この結果、多くの社員は会社の現状を正確に把握できず、部門間の連携不足や、現場からの改善提案の減少、社員の当事者意識の欠如といった問題を引き起こしています。

#依頼事項
この深刻な課題を解決し、「ネガティブな情報も含めてオープンに共有し、事実に基づいて全社で課題解決に取り組む文化」を醸成するための、具体的で実践的なアクションプランを提案してください。

#出力条件
以下の構成で、ステップバイステップで詳細に記述してください。

1.  **ステップ1: 経営層の巻き込みと土台作り（最初の1ヶ月）**
    *   情報共有の重要性を経営層に理解させ、強力なコミットメントを得るための具体的な説得方法（トーク例や提示すべきデータを含む）。
    *   情報共有の目的とルール（例：「犯人探し」ではなく「未来のための学習」を目的とする）を明確化し、全社に発信する際のコミュニケーションプラン。

2.  **ステップ2: 小さな成功体験の創出（1〜3ヶ月目）**
    *   全社展開の前に、特定の部署やプロジェクトで試験的に情報共有を始める際の、テーマの選び方と進め方。
    *   ネガティブな情報を共有する際の、心理的抵抗を和らげる具体的な工夫（例：共有フォーマットのテンプレート、会議のアイスブレイク、ファシリテーターの役割）。

3.  **ステップ3: 全社展開と文化の定着（3ヶ月目以降）**
    *   小さな成功体験を、どのように全社に効果的に展開していくか。
    *   情報共有を促進し、文化として定着させるための具体的な仕組み（例：推奨される定例会議のアジェンダ、情報共有ツールの効果的な活用法、評価制度への組み込み案）。

4.  **想定される障壁と、その具体的な対策**
    *   「自分の部署の評価が下がる」「責任を追及される」といった社員や管理職の不安や抵抗への対処法。
    *   共有された情報に対する、建設的でない批判や評論を防ぐためのグランドルール案。
    *   「情報が多すぎて処理できない」という情報過多の状態に陥らないための、情報整理・伝達のコツ。
」"
,7,海外市場や地方市場の動向を「うちには関係ない」と切り捨て、グローバルやローカルな視点での分析が抜け落ちている。,国内市場の対応で手一杯なため、海外市場や地方市場といった、すぐに売上に繋がらない可能性のある領域の調査まで、なかなか手が付けられない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（目的を見失った調査分析用） ▼▼▼
# 役割
あなたは中小企業の経営課題解決を専門とする、経験豊富な経営コンサルタントです。特に、データ分析が本来の目的から逸れて「分析のための分析」に陥っている状況を打破し、具体的なアクションに繋げることを得意としています。

# 背景
私たちのチームは現在、ある調査・分析を行っていますが、「調査のための調査」になってしまっており、この分析が最終的にどの経営課題を解決するのかという目的が曖昧になっています。このままでは、時間とリソースを浪費するだけで、具体的な成果に繋がりません。

# 命令
以下の【現在の分析内容】を深く理解し、私たちが本来立ち返るべき「目的」を再設定し、この分析を具体的なアクションに繋げるための思考の壁打ち相手になってください。
以下のステップに従って、示唆に富むアドバイスを構造的に提示してください。

1.  **目的の再定義（経営課題との接続）**:
    *   この分析データが貢献できる可能性のある「経営課題」の仮説を、以下の観点から複数挙げてください。
        *   売上向上
        *   コスト削減
        *   顧客満足度向上
        *   業務効率化
        *   新規事業・サービス開発
    *   それぞれの経営課題について、「なぜこの分析がその課題解決に繋がりそうか」という簡潔な理由も添えてください。

2.  **分析を深めるための「魔法の質問」**:
    *   ステップ1で提示した経営課題の仮説に基づき、私たちがこの分析をより意味のあるものにするための「本質を突く問い」を5つ、質問形式で作成してください。これらの問いに答えることで、分析の方向性が明確になるような、鋭い質問をお願いします。
    *   例：「このデータから、最も利益率の高い顧客セグメントはどこだと特定できますか？」

3.  **次へのアクションプラン**:
    *   この分析を単なる報告で終わらせず、具体的な「次の行動」に繋げるためのステップを3段階で提案してください。
        *   **Step 1: チーム内での合意形成**（まず何を確認・議論すべきか）
        *   **Step 2: 追加分析・仮説検証**（次に行うべき分析や調査は何か）
        *   **Step 3: 意思決定と実行**（最終的に誰を巻き込み、何を決定すべきか）

# 入力データ
【現在の分析内容】:
ここに、現在行っている調査や分析の概要、使用しているデータ、現状分かっていることなどを具体的に記述してください。

」"
,8,「うちの顧客はITに疎いから」と、業界全体のDX化の流れや、顧客の情報収集方法の変化に気づかないふりをしている。,業界全体のDX化の流れは認識しつつも、自社のシステム対応や顧客への説明といった、時間のかかる準備を考えると、どうしても取り組みが遅れがちになる。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（完璧主義で報告書が遅れる人用） ▼▼▼
あなたは、数多くの中小企業の課題を解決してきた、経験豊富なビジネスコンサルタントです。私は、報告書の作成スタイルについて深刻な悩みを抱えています。どうか、プロの視点から具体的なアドバイスをください。

**# 私が抱える問題**
- 報告書を作成する際、誤字脱字、データの見せ方、表現の細部まで気になってしまい、自分自身が「完璧だ」と納得できるまで提出することができません。
- その結果、報告書の提出が常に遅れがちになり、上司からは「君の報告を待っている間に状況が変わってしまう」「スピードがなければ意味がない」と厳しく指摘されています。
- このままでは評価を下げてしまうと危機感を持っていますが、不完全なものを提出することに強い抵抗感があり、どうすれば良いか分かりません。

**# あなたに依頼したいこと**
この「完璧主義による報告遅延」を克服し、ビジネスで求められるスピード感と適切な品質を両立させるための、思考法と具体的なアクションプランを提案してください。

**# 出力要件**
以下の3つのステップで、私が明日からすぐに実践できるような、分かりやすいアドバイスをお願いします。

1.  **マインドセット改革：「完璧」の呪いを解く思考法**
    *   ビジネスにおける報告書の本当の目的とは何か。
    *   「100点の資料を1週間後」よりも「60点の速報を明日」が価値を持つ理由。
    *   「完了主義」に切り替えるための具体的な考え方。

2.  **明日からできる具体的なアクションプラン**
    *   **ステップ1：期待値のすり合わせ:** 報告書作成前に、上司に「目的」「納期」「求める完成度（どのレベルの情報が必要か）」の3点を必ず確認する方法。
    *   **ステップ2：中間報告のルール化:** 「ドラフトですが、60%の段階で一度ご報告します」と宣言し、早い段階で方向性のズレを修正するテクニック。具体的な相談の切り出し方も教えてください。
    *   **ステップ3：タイムボックスの設定:** 「〇時までは情報収集」「〇時までは構成作成」のように、作業工程ごとに時間を区切り、完璧を求めすぎないようにする時間管理術。

3.  **上司・同僚とのコミュニケーション術**
    *   フィードバックや指摘を前向きな「改善のヒント」として受け止めるための心構え。
    *   自分の状況を正直に伝え、協力を仰ぐためのフレーズ例。
」"
,9,自社の弱みや課題を社内で口にすることがタブー視されており、分析結果から不都合な真実が見えても報告できない。,自社の弱みや課題を分析し、改善策を議論するには時間がかかるため、まずは短期的な成果に繋がりやすい「強み」を活かす議論が中心になる。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（一方通行の報告会用） ▼▼▼
#役割
あなたは、中小企業の組織課題解決を専門とする、経験豊富な経営コンサルタント兼ファシリテーターです。特に、会議の生産性向上と参加者のエンゲージメント向上に優れた実績を持っています。

#背景
私が所属する中小企業では、分析担当者が経営陣に対して行う定期的な報告会があります。しかし、この報告会が以下のような問題を抱えています。

- **問題点**:
    - 報告会が、分析担当者から経営陣への「一方通行のプレゼンテーション」で終わってしまう。
    - プレゼン時間が長すぎて、質疑応答や議論の時間がほとんど確保されていない。
    - 経営陣は受け身で聞いているだけで、深い洞察や多角的な意見が出にくい。
    - 結果として、報告内容が十分に吟味されず、次の具体的なアクションや質の高い意思決定に繋がっていない。

#ゴール
この一方通行の報告会を、参加者全員が主体的に関与し、活発な議論を通じて質の高い意思決定を生み出す「双方向の対話の場」に変革したいです。

#命令
上記のゴールを達成するために、以下のステップで具体的な改善策を体系的に提案してください。

1.  **根本原因の分析**:
    なぜこのような「一方通行の報告会」が起きてしまうのか、考えられる根本原因を「文化・風土」「スキル・意識」「仕組み・ルール」の3つの観点から多角的に分析してください。

2.  **具体的な改善アクションプランの提案**:
    以下の3つのフェーズに分けて、中小企業でもすぐに実践できる、具体的で現実的なアクションプランを提案してください。各アクションプランには、「目的」と「具体的な実行方法」を明記してください。

    - **【フェーズ1: 報告会 前の準備】**:
        - 効果的なアジェンダの設計方法
        - 議論を促すための事前資料の配布方法
        - 参加者への期待値の伝え方 など

    - **【フェーズ2: 報告会 当日の運営】**:
        - プレゼン資料の構成（報告は簡潔に、問いを重視するなど）
        - 時間配分の見直し案（例: プレゼン20%、議論70%、まとめ10%）
        - 議論を活性化させるためのファシリテーションテクニックと具体的な問いかけの例
        - 経営陣からの意見を引き出すための工夫

    - **【フェーズ3: 報告会 後のフォローアップ】**:
        - 決定事項と次のアクションを明確にする議事録の書き方
        - 議論内容を組織の資産として活用する方法

#出力形式
- 全体を箇条書きで、論理的かつ分かりやすく構成してください。
- 提案するアクションプランは、明日からでも試せるような、具体的で実践的な内容にしてください。
」"
,10,社長や役員が「見たい情報」だけを求めており、それに沿ったポジティブな分析レポートしか受け入れられない。,役員への報告時間が限られており、分析結果のポジティブな側面を中心に報告せざるを得ず、ネガティブな情報に対する議論の時間が十分に取れない。,エラーが発生しました。詳細はログを確認してください。
